Recording Name,Subject,Metric,Value,SubjectID,Block,Module
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Time Domain
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Time Domain
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,Mean IBI(ms),745.1904296875003,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,Mean HR(bpm),81.0,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,SDNN(ms),43.40146671770181,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,SDANN(ms),0.0,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,RMSSD(ms),25.58125328448457,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,SDSD(ms),25.65734475819571,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,pNN50(%),5.031446540880503,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,pNN20(%),42.76729559748428,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Time Domain
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power(ms²),39.6196196800001,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power Percent(%),2.425592794918673,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Peak(Hz),0.0009765625,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power(ms²),418.1919138841425,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power Percent(%),25.60254998416036,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Peak(Hz),0.00390625,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power(ms²),924.8369913536585,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Percent(%),56.62038052914724,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Norm.,0.7867016736187361,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Peak(Hz),0.1005859375,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power(ms²),250.7509378031666,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Percent(%),15.35147669177373,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Norm.,0.2132983263812639,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Peak(Hz),0.150390625,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Total Power(ms²),1633.399462720968,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,LF/HF,3.688269321966137,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Nonlinear
p01-r2,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Nonlinear
p01-r3,被试001,Sensor Name,,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,SD1(ms),18.14248246576131,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,SD2(ms),58.63637912145581,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,A++(count),37.0,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,B--(count),48.0,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,C,ECG HRV Nonlinear
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
